ProfitCentre,CostCentre,ShortDescription,LongDescription
P100000001,C100000001,Corp-Admin.-Default,Corp-Admin.-Default
P100000002,C100000002,HVAC Brand- BS Only,HVAC Brand- Balance Sheet Only
P100000003,C100000003,Rental HWT - BS Only,Rental  HWT - Bal Sheet Only
P141000001,C141000001,Trusteeco,Trusteeco
P142000001,C142000001,Benco,Benco
P143000001,C143000001,GP Trust,GP Trust
P110000001,C110000001,Reliance LP,Reliance LP
P115000001,C115000001,NEC,NEC (National Energy Corp)
P180000001,C180000001,Reliance US Hld I,Reliance US Holdings I
P200000001,C200000001,Reliance US Hld II,Reliance US Holdings II
P120000001,C120000001,Reliance Itdt Hld LP,Reliance Intermdt Hold LP
P130000001,C130000001,Reliance Holdings LP,Reliance Holdings LP
P190000001,C190000001,Canco,Canco
P100000004,C100000004,Nat'l/RCLP,Nat'l/RCLP
P100000005,C100000005,Nat'l/RCLP Serv Cost,Nat'l/RCLP Service Cost
P100000006,C100000006,Nat'l/RCLP WH Rental,Nat'l/RCLP WH Rental
P100000007,C100000007,Ntl/RCLP WH Rtl Cost,Nat'l/RCLP WH Rental Cost
P100000008,C100000008,NEC - interco,NEC - interco
P129900001,C129900001,R Inter Hld LP Consl,R Inter Hldngs LP Consolidatin
P119900001,C119900001,Reliance LP Elim,Reliance LP Elim
P139900001,C139900001,R Holding LP Consl,R Holding LP Consolidatin
P199900001,C199900001,Canco Elim,Canco Elim
P100000009,C100000009,US - Acquisition,US - Acquisition
P100000010,C100000010,Corp-Admin.-HR,Corp-Admin.-Human Resources
P100000011,C100000011,New 8,New 8
P100000012,C100000012,New 9,New 9
P100000013,C100000013,New 10,New 10
P100000014,C100000014,New 11,New 11
P100000015,C100000015,New 12,New 12
P100000016,C100000016,New 13,New 13
P100000017,C100000017,New 14,New 14
P100000018,C100000018,New 15,New 15
P100000019,C100000019,New 16,New 16
P100000020,C100000020,New 17,New 17
P100000800,C100000800,Acquisition East,Acquisition East
P100000801,C100000801,Acquisition West,Acquisition West
P100000802,C100000802,Acquisition Central,Acquisition Central
P135000001,C135000001,3218431 Nova Scotia,3218431 Nova Scotia Limited
P140000001,C140000001,3218430 Nova Scotia,3218430 Nova Scotia Limited
P144000001,C144000001,3219829 Nova Scotia,3219829 Nova Scotia Limited
P145000001,C145000001,4211782 Canada Inc.,4211782 Canada Inc.
P219900001,C219900001,Reliance US  Elim,Reliance US  Elimination
P220000001,C220000001,Newco 1,Newco 1
P230000001,C230000001,Newco 2,Newco 2
P100005000,C100005000,Work Force planning,Work Force planning
P100005001,C100005001,SUPPLY CHAIN,SUPPLY CHAIN
P100005002,C100005002,OPERATIONS SUPPORT,OPERATIONS SUPPORT
P100005003,C100005003,Health and Safety,Health and Safety
P100005004,C100005004,Ops Project Team,Operations Project Team
P100005005,C100005005,Customer Accounting,Customer Accounting
P100005006,C100005006,OSH:Call Ctr Prj Sup,OSH:Call Ctr Proj Support
P100005007,C100005007,OSHAWA:ADMIN,OSHAWA:ADMIN
P100005008,C100005008,OSH: Call Handling,OSH: Call Handling
P100005009,C100005009,OSH:DATA ENT,OSH:DATA ENT
P100005010,C100005010,OSH:CC TelusIntlPhil,OSH:Call Ctr Telus Int'l Phil
P100005011,C100005011,OSH: UE FINANCIAL,OSH: UE FINANCIAL
P100005012,C100005012,OSH: ARISE,OSH: ARISE
P100005013,C100005013,Call Centre Support,Call Centre Support
P100005014,C100005014,Burlington Cntl Adm,Burlington Central Admin
P100005015,C100005015,B2B Sales Support,B2B Sales Support
P100005016,C100005016,Retention Adm,Retention Adm
P100005017,C100005017,Property Management,Property Management
P100005018,C100005018,Dealer,Dealer
P100005019,C100005019,Comm Call Center,Commercial Call Center
P100005020,C100005020,Builder Sales,Builder Sales
P100005021,C100005021,Office of the Pres,Office of the President
P100005022,C100005022,Customer Experience,Customer Experience
P100005023,C100005023,Corp Marketing,Corp Marketing
P100005024,C100005024,Sales Effectiveness,Sales Effectiveness
P100005025,C100005025,TCPP,TCPP
P100005026,C100005026,CPP Telemarketing,CPP Telemarketing
P100005027,C100005027,Rental- HVAC Tele,Rental- HVAC Telemarketing
P100005028,C100005028,FINANCE PRGM,FINANCE PRGM
P100005029,C100005029,Cambridge Admin,Cambridge Central Admin
P100005030,C100005030,Corp Legal Admin,Corporate Legal Admin
P100005031,C100005031,Controller's Group,Controller's Group
P100005032,C100005032,Corporate Finance,Corporate Finance
P100005033,C100005033,Fin Plan&Analysis,Financial Planning & Analysis
P100005034,C100005034,HUMAN RESOURCES,HUMAN RESOURCES
P100005035,C100005035,HR SEVERENCE,HR SEVERENCE
P100005036,C100005036,Credit & Collection,Credit & Collection
P100005037,C100005037,Collection: EGD,Collection: EGD
P100005038,C100005038,Collection: Admin,Collection: Admin
P100005039,C100005039,Banner Replacement,Banner Replacement
P100005040,C100005040,CEO,CEO
P100005041,C100005041,Corp: CIO Office,Corp: CIO Office
P100005042,C100005042,IT: Applications,IT: Applications
P100005043,C100005043,IT: Databases,IT: Databases
P100005044,C100005044,IT: Projects,IT: Projects
P100005045,C100005045,IT: Infrastructure,IT: Infrastructure
P100005046,C100005046,Central Services RZE,Central Services RZE
P100005047,C100005047,Corporate Sales,Corporate Sales
P100005048,C100005048,SAP - Project Edison,SAP - Project Edison
P100005049,C100005049,Marketing Cost,Marketing Cost
P100005050,C100005050,CEO SPECIAL PROJECTS,CEO SPECIAL PROJECTS
P100005051,C100005051,Cybersecurity Dept,Cybersecurity Department
P100005052,C100005052,CustAcct - Cr Cards,Customer Accounting - Credit Cards
P100008000,C100008000,EAST CC GM,EAST CC GM
P100008001,C100008001,WEST CC GM,WEST CC GM
P100008002,C100008002,Cent Cda Regional CC,Central Canada Regional CC
P210009000,C210009000,"RH&A, LLC","RH&A, LLC"
P210009001,C210009001,RH&A ELECCOD CTA,RH&A - Res Elec COD - Sales
P210009002,C210009002,RH&A ELECCOD CTS,RH&A - Res Elec COD -Ops
P210009003,C210009003,RH&A RESGUARD CTA,RH&A - Res Comfort Guard - Sales
P210009004,C210009004,RH&A RESGUARD CTS,RH&A - Res Comfort Guard - Ops
P210009005,C210009005,RH&A RBP CTA,RH&A - Res Building Performance - Sales
P210009006,C210009006,RH&A RBP CTS,RH&A - Res Building Performance - Ops
P210009007,C210009007,RH&A DUCT CTA,RH&A - Res Duct Cleaning - Sales
P210009008,C210009008,RH&A DUCT CTS,RH&A - Res Duct Cleaning - Ops
P210009009,C210009009,RH&A WHSALES CTS,RH&A - Res WH Sales - Ops
P210009010,C210009010,RH&A HVACCOD CTA,RH&A - Res HVAC COD - Sales
P210009011,C210009011,RH&A HVACCOD CTS,RH&A - Res HVAC COD - Ops
P210009012,C210009012,RH&A RWH CTA,RH&A - Res Residential WH - RMR
P210009013,C210009013,RH&A RWH CTS,RH&A - Res Residential WH - Ops
P210009014,C210009014,RH&A HVACCPP CTA,RH&A - Res Residential HVAC CPP - RMR
P210009015,C210009015,RH&A HVACCPP CTS,RH&A - Res Residential HVAC CPP - Ops
P210009016,C210009016,RH&A RHVAC CTA,RH&A - Res Residential Rental HVAC - RMR
P210009017,C210009017,RH&A RHVAC CTS,RH&A - Res Residential Rental HVAC - Ops
P210009018,C210009018,RH&A EW CTS,RH&A - In-House Ext.Warr - Ops
P210009019,C210009019,RH&A HVACSALE CTA,RH&A - Residential HVAC Sales - Sales
P210009020,C210009020,RH&A HVACSALE CTS,RH&A - Residential  HVAC Sales - Ops
P210009021,C210009021,RH&A EWH CTA,RH&A - Res Electric WH - RMR
P210009022,C210009022,RH&A RHVACINSTEXP,RH&A - RHVAC Install Expense
P210009023,C210009023,RH&A MO CTA,RH&A - Maint Contracts Sales
P210009024,C210009024,RH&A MO CTS,RH&A - Maint Contracts Ops
P210009025,C210009025,RH&A COMELCOD CTA,RH&A - Comm Elec COD - Sales
P210009026,C210009026,RH&A COMELCOD CTS,RH&A - Comm Elec COD Ops
P210009027,C210009027,RH&A COM HVACCOD CTA,RH&A - Comm HVAC COD - Sales
